"species","trt","doy","stm.length_cm","flowers_g","gr.leaves_g","dead.leaves_g","stm_g","crown_g","agb_g","main.roots_g","adv.roots_g","moment"
"A","ctrl",237,89.0283333333333,0,3.79554,0.50094,9.2511,0.95226,13.54758,1.17078,0.10752,"post-recovery"
"A","ctrl",237,62.335,0,2.91978,1.47822,7.77822,1.07184,12.17622,1.4148,0.27396,"post-recovery"
"A","ctrl",237,73.8616666666667,0,2.60514,0.4485,5.592,0.69018,8.64564,0.93726,0.08868,"post-recovery"
"A","ctrl",237,94.4125,0.19632,3.0393,1.40616,9.25962,1.13646,13.9014,1.48578,0.03888,"post-recovery"
"A","ctrl",237,83.0375,0,3.56244,1.18266,9.13878,1.60332,13.88388,1.3635,0.11184,"post-recovery"
"A","ctrl",237,80.3075,0,1.65984,0.22896,3.7692,0.57366,5.658,0.50352,0.04302,"post-recovery"
"A","ctrl",237,101.01,0,2.29518,0.29748,6.66744,0.65076,9.2601,0.54606,0.12516,"post-recovery"
"A","ctrl",237,84.7816666666667,0,2.35104,0.75072,6.15228,0.9612,9.25404,1.09482,0.22836,"post-recovery"
"A","ctrl",237,75.4541666666667,0,3.27912,1.00902,6.65142,1.14978,10.93956,1.13682,0.20514,"post-recovery"
"A","ctrl",237,77.805,0,2.16246,0.3597,5.86008,0.82968,8.38224,0.90702,0.0285,"post-recovery"
"A","ctrl",237,71.435,0,3.63282,1.04364,8.08026,1.37658,12.75672,1.4895,0.11604,"post-recovery"
"A","ctrl",237,77.805,0,2.04606,0.2211,5.30232,0.58914,7.56948,0.76578,0.14676,"post-recovery"
"B","ctrl",237,44.3625,0.70062,3.88104,0.53388,6.51342,0.93378,11.62896,1.1334,0.58212,"post-recovery"
"B","ctrl",237,47.775,0.33774,3.61686,1.11534,7.31154,1.08372,12.38148,1.0065,0.44436,"post-recovery"
"B","ctrl",237,37.31,NA,2.42904,0.49968,4.26624,0.61662,7.19496,0.4173,0.36948,"post-recovery"
"B","ctrl",237,83.5683333333333,0.37908,2.70648,0.60096,7.43448,0.47808,11.121,0.71988,0.32412,"post-recovery"
"B","ctrl",237,41.5566666666667,0.34074,2.9583,0.8733,6.16488,1.32402,10.33722,0.9234,0.35784,"post-recovery"
"B","ctrl",237,50.8841666666667,0.36816,3.49764,0.83544,9.25188,1.2567,13.95312,1.04112,0.63726,"post-recovery"
"B","ctrl",237,46.3341666666667,0.53676,4.34004,1.04652,7.73712,0.74454,13.66044,0.86148,0.62496,"post-recovery"
"B","ctrl",237,45.6516666666667,1.1061,3.09114,0.6354,7.99422,0.98874,12.82686,1.0812,0.4095,"post-recovery"
"B","ctrl",237,51.415,0.78522,3.18798,0.97536,7.26252,0.70344,12.21108,1.00572,0.36666,"post-recovery"
"B","ctrl",237,46.6375,0,3.29412,1.15638,6.33444,0.73032,10.78494,0.6804,0.50136,"post-recovery"
"B","ctrl",237,30.485,0,0.84624,0.19572,1.30296,0.23406,2.34492,0.13788,0.1125,"post-recovery"
"B","ctrl",237,56.42,0,3.72192,0.71286,7.35048,1.1544,11.78526,0.7845,0.5187,"post-recovery"
